K,inertia,silhouette_score
5,15419.50733979362,0.18453974247605678
7,15903.434798936149,-0.05769067058509954
9,14619.998420440737,0.24240429952901446
11,14411.604659910688,-0.11846935275083469
13,15293.918366807375,-0.047077254677121795
15,11822.456528492929,0.23451941356868058
17,12602.315825583864,0.1877204759168
19,8961.730561766182,0.20025899681557366
