Verb1,Verb2,CosineSimilarity
pasʋʋ,ɖizuu,1.0
nɩɣzʋʋ,ɖuuu,1.0
suluu,ñaɣzʋʋ,1.0
tuuluu,yozuu,1.0
pasʋʋ,ñɩm,1.0
hʋlɩsʋʋ,ɖɩɣzʋ,1.0
hʋlɩsʋʋ,ɖɔ́kʋʋ,1.0
pasʋʋ,ɖɔ́kʋʋ,1.0
nɩɣzʋʋ,ñɩtʋʋ,1.0
pasʋʋ,ɖɩɣzʋ,1.0
hʋlɩsʋʋ,ɖizuu,1.0
sazʋʋ,tɩɣzɩnʋʋ,1.0
suluu,ñɔkɔyɩnʋʋ,1.0
pasʋʋ,pɛdʋʋ,1.0
palʋʋ,Ɩɩʋ,1.0
pasʋʋ,pilisuu,1.0
pasʋʋ,ñɩbʋ,1.0
pasʋʋ,paɖʋʋ,1.0
liu,pʋʋtʋʋ,1.0
fɛʋ,sisuu,1.0
fɛʋ,sobuu,1.0
liu,pɛlʋʋ,1.0
sobuu,tɩmʋʋ,1.0
suluu,ñɩm,1.0
suluu,ñɩbʋ,1.0
liu,pɛdʋʋ,1.0
tuuluu,yɔlɩsʋʋ,1.0
kuu,suluu,1.0
liu,pilisuu,1.0
sobuu,tɛŋɛlʋʋ,1.0
sazʋʋ,welesinuu,1.0
kuu,sɛɣʋʋ,1.0
kasʋʋ,kʋndɩnʋʋ,1.0
kasʋʋ,kem,1.0
sɛɣʋʋ,wanʋʋ,1.0
sɛɣʋʋ,welesinuu,1.0
kasʋʋ,kpalʋʋ,1.0
sɛɣʋʋ,wonʋʋ,1.0
kasʋʋ,kpendʋʋ,1.0
kasʋʋ,kpibu,1.0
kasʋʋ,kpibuu,1.0
kasʋʋ,kpiyuu,1.0
sɛɣʋʋ,woŋuu,1.0
kasʋʋ,kpɛzɩnʋʋ,1.0
kasʋʋ,kpɛʋ,1.0
kasʋʋ,kpɩtʋʋ,1.0
kasʋʋ,kuu,1.0
waʋ,yoluu,1.0
waʋ,yuu,1.0
tuuluu,tɔyɩtʋʋ,1.0
kasʋʋ,kaʋ,1.0
kasʋʋ,kaɖɩnʋʋ,1.0
kpiyuu,tasɩnʋʋ,1.0
sɛɣʋʋ,tuu,1.0
sɛɣʋʋ,tasɩnʋʋ,1.0
kpiyuu,wanʋʋ,1.0
kpiyuu,tɩɣzɩnʋʋ,1.0
kpiyuu,tɩɣyʋʋ,1.0
sɛɣʋʋ,tolisuu,1.0
sɛɣʋʋ,tuduu,1.0
sazʋʋ,yasʋʋ,1.0
kpiyuu,tɔyɩtʋʋ,1.0
sɛɣʋʋ,tɩɣzɩnʋʋ,1.0
sɛɣʋʋ,tuuluu,1.0
sɛɣʋʋ,tɔyɩtʋʋ,1.0
kpiyuu,tuuluu,1.0
kpiyuu,tuu,1.0
kpiyuu,tuduu,1.0
kpiyuu,tolisuu,1.0
sɛɣʋʋ,tɩɣyʋʋ,1.0
waʋ,yʋlʋmʋʋ,1.0
waʋ,ñɔtʋʋ,1.0
sɛɣʋʋ,sɩzʋʋ,1.0
waʋ,ñɔzʋʋ,1.0
sɛɣʋʋ,yozuu,1.0
welesinuu,yonuu,1.0
welesinuu,yozuu,1.0
tiluu,tɛmnʋʋ,1.0
welesinuu,yɔlɩsʋʋ,1.0
kasʋʋ,muluu,1.0
kpiyuu,sɩnzʋʋ,1.0
kasʋʋ,mɩsʋʋ,1.0
sɛɣʋʋ,yɔlɩsʋʋ,1.0
kasʋʋ,mʋʋzʋʋ,1.0
kasʋʋ,naŋʋʋ,1.0
kpiyuu,sɛɣʋʋ,1.0
welesinuu,ñazʋʋ,1.0
welesinuu,ñaɣyʋʋ,1.0
welesinuu,ñaɣzʋʋ,1.0
sɛɣʋʋ,ñazʋʋ,1.0
welesinuu,ñɔkɔyɩnʋʋ,1.0
kasʋʋ,mayʋʋ,1.0
liu,mʋʋzʋʋ,1.0
kasʋʋ,lʋʋ,1.0
sazʋʋ,yozuu,1.0
waʋ,ñɩlɩsʋʋ,1.0
waʋ,ñɩlɩzʋʋ,1.0
sazʋʋ,yonuu,1.0
waʋ,ɖabʋ,1.0
waʋ,ɖaɣlʋʋ,1.0
waʋ,ɖewuu,1.0
kasʋʋ,liu,1.0
kpiyuu,sɩɣlʋʋ,1.0
welesinuu,yasʋʋ,1.0
kasʋʋ,lɛzʋʋ,1.0
welesinuu,wonʋʋ,1.0
welesinuu,woŋuu,1.0
kasʋʋ,lɛʋ,1.0
sɛɣʋʋ,yasʋʋ,1.0
kpiyuu,sɩzʋʋ,1.0
sɛɣʋʋ,yonuu,1.0
sɛɣʋʋ,sɩɣlʋʋ,1.0
wasʋʋ,ɖewuu,1.0
tuuluu,tɩɣzɩnʋʋ,1.0
nɩzʋʋ,wasʋʋ,1.0
kpɛʋ,kpɩtʋʋ,1.0
nɩzʋʋ,yʋlʋmʋʋ,1.0
nɩzʋʋ,yuu,1.0
sazʋʋ,wonʋʋ,1.0
kuu,tolisuu,1.0
nɩzʋʋ,yoluu,1.0
kuu,tuduu,1.0
sazʋʋ,woŋuu,1.0
kpiyuu,yonuu,1.0
kuu,tuu,1.0
kuu,tuuluu,1.0
kuu,tɔyɩtʋʋ,1.0
wasʋʋ,yoluu,1.0
kpiyuu,yasʋʋ,1.0
wasʋʋ,yuu,1.0
suluu,wanʋʋ,1.0
kuu,tɩɣyʋʋ,1.0
nɩzʋʋ,ñɔtʋʋ,1.0
nɩzʋʋ,ñɔzʋʋ,1.0
kpiyuu,yozuu,1.0
kuu,sɩzʋʋ,1.0
suluu,welesinuu,1.0
sazʋʋ,wanʋʋ,1.0
wanʋʋ,ɖɔ́kʋʋ,1.0
tuuluu,tɩɣyʋʋ,1.0
wanʋʋ,ɖɩɣzʋ,1.0
kuu,sɩnzʋʋ,1.0
tituu,waʋ,1.0
wasʋʋ,waʋ,1.0
nɩzʋʋ,ñɩlɩsʋʋ,1.0
kuu,sɩɣlʋʋ,1.0
nɩzʋʋ,ɖewuu,1.0
nɩzʋʋ,ɖaɣlʋʋ,1.0
kpiyuu,yɔlɩsʋʋ,1.0
nɩzʋʋ,ɖabʋ,1.0
kuu,tasɩnʋʋ,1.0
nɩzʋʋ,ñɩlɩzʋʋ,1.0
nɩzʋʋ,waʋ,1.0
kuu,tɩɣzɩnʋʋ,1.0
kpiyuu,welesinuu,1.0
nɩzʋʋ,wadʋʋ,1.0
kuu,yonuu,1.0
kuu,yozuu,1.0
nɩzʋʋ,pʋʋ,1.0
nɩzʋʋ,pʋtʋʋ,1.0
wasʋʋ,ɖabʋ,1.0
kpiyuu,wonʋʋ,1.0
nɩzʋʋ,pɩnʋʋ,1.0
liu,naŋʋʋ,1.0
nɩzʋʋ,puzuu,1.0
nɩzʋʋ,piyʋʋ,1.0
nɩzʋʋ,pilimuu,1.0
nɩzʋʋ,peenduu,1.0
nɩzʋʋ,paʋ,1.0
wasʋʋ,ɖaɣlʋʋ,1.0
nɩzʋʋ,paɣlʋʋ,1.0
kuu,yɔlɩsʋʋ,1.0
sɛɣʋʋ,sɩnzʋʋ,1.0
kuu,yasʋʋ,1.0
nɩzʋʋ,seluu,1.0
kpɛʋ,kuu,1.0
kuu,welesinuu,1.0
kuu,wanʋʋ,1.0
wasʋʋ,yʋlʋmʋʋ,1.0
nɩzʋʋ,tɩyʋʋ,1.0
nɩzʋʋ,tɩmʋʋ,1.0
nɩzʋʋ,tɛŋɛlʋʋ,1.0
nɩzʋʋ,tituu,1.0
wasʋʋ,ñɔtʋʋ,1.0
kuu,wonʋʋ,1.0
wasʋʋ,ñɩlɩzʋʋ,1.0
kuu,woŋuu,1.0
wasʋʋ,ñɔzʋʋ,1.0
nɩzʋʋ,sobuu,1.0
nɩzʋʋ,sisuu,1.0
wasʋʋ,ñɩlɩsʋʋ,1.0
nɩzʋʋ,seʋ,1.0
kpiyuu,woŋuu,1.0
hʋlɩsʋʋ,yonuu,1.0
hʋlɩsʋʋ,tɔyɩtʋʋ,1.0
hʋlɩsʋʋ,yasʋʋ,1.0
paɣlʋʋ,sobuu,1.0
paɣlʋʋ,tɛŋɛlʋʋ,1.0
paɣlʋʋ,tituu,1.0
hɩzʋʋ,kpalʋʋ,1.0
