Verb1,Verb2,CosineSimilarity
kaɖɩnʋʋ,kpɛdʋʋ,0.7071067811865476
kaɖɩnʋʋ,kpɛlɩkʋʋ,0.7071067811865476
hɔɔlʋʋ,kpɛlɩkʋʋ,0.7071067811865476
sɩzʋʋ,ñasʋʋ,0.7071067811865476
hɔɔlʋʋ,nezuu,0.7071067811865476
hoyuu,weʋ,0.7071067811865476
kpalʋʋ,nezuu,0.7071067811865476
layʋʋ,wonʋʋ,0.7071067811865476
naŋʋʋ,yʋlɩsʋʋ,0.7071067811865476
naŋʋʋ,yɩɣyʋʋ,0.7071067811865476
calʋʋ,kʋndɩnʋʋ,0.7071067811865476
kpɛlɩkʋʋ,woŋuu,0.7071067811865476
tɔɔlʋʋ,wasʋʋ,0.7071067811865476
yɩɣyʋʋ,ɖɔ́kʋʋ,0.7071067811865476
sɔm,tasɩnʋʋ,0.7071067811865476
kpiyuu,sɔm,0.7071067811865476
yɩɣyʋʋ,ɖɩɣzʋ,0.7071067811865476
tɔɔlʋʋ,waʋ,0.7071067811865476
welesinuu,ɖɩŋʋʋ,0.7071067811865476
kʋndɩnʋʋ,ɖʋnʋʋ,0.7071067811865476
kaʋ,layʋʋ,0.7071067811865476
ñɔzʋʋ,ɖem,0.7071067811865476
welesinuu,ɖʋnʋʋ,0.7071067811865476
tɔyɩtʋʋ,yɩɣyʋʋ,0.7071067811865476
kpɩtʋʋ,you,0.7071067811865476
ceɣuu,kpɛdʋʋ,0.7071067811865476
hadʋʋ,ñasʋʋ,0.7071067811865476
hɔɔzʋʋ,sɛɣʋʋ,0.7071067811865476
koluu,tɔɔlʋʋ,0.7071067811865476
kasʋʋ,sɔm,0.7071067811865476
kasʋʋ,posuu,0.7071067811865476
pɛdʋʋ,ɖɩŋʋʋ,0.7071067811865476
sɔm,sɩɣlʋʋ,0.7071067811865476
welesinuu,ñɩɣʋ,0.7071067811865476
sɔm,tuu,0.7071067811865476
hadʋʋ,ɖʋnʋʋ,0.7071067811865476
welesinuu,you,0.7071067811865476
sɛɣʋʋ,weʋ,0.7071067811865476
sɔm,tuduu,0.7071067811865476
cozuu,posuu,0.7071067811865476
sɔm,tolisuu,0.7071067811865476
welesinuu,yɩɣyʋʋ,0.7071067811865476
welesinuu,yʋlɩsʋʋ,0.7071067811865476
kpɩtʋʋ,weʋ,0.7071067811865476
tolisuu,weʋ,0.7071067811865476
pɛdʋʋ,ɖʋnʋʋ,0.7071067811865476
tɔɔlʋʋ,wadʋʋ,0.7071067811865476
kasʋʋ,nezuu,0.7071067811865476
welesinuu,ñasʋʋ,0.7071067811865476
kpɛlɩkʋʋ,wonʋʋ,0.7071067811865476
pʋtʋʋ,you,0.7071067811865476
hɔɔzʋʋ,ñɩbʋ,0.7071067811865476
tɔyɩtʋʋ,yʋlɩsʋʋ,0.7071067811865476
yʋlɩsʋʋ,ñazʋʋ,0.7071067811865476
sɔm,sɩzʋʋ,0.7071067811865476
hoyuu,nezuu,0.7071067811865476
siɣʋ,sɔm,0.7071067811865476
layʋʋ,tuu,0.7071067811865476
posuu,wonʋʋ,0.7071067811865476
layʋʋ,tuuluu,0.7071067811865476
tituu,you,0.7071067811865476
mʋʋ́ʋ,sɔm,0.7071067811865476
kpibu,sɔm,0.7071067811865476
kpɛlɩkʋʋ,yasʋʋ,0.7071067811865476
lizuu,tɩŋɩʋʋ,0.7071067811865476
kasʋʋ,weʋ,0.7071067811865476
mʋʋ́ʋ,đɛʋ,0.7071067811865476
mʋʋ́ʋ,ɖem,0.7071067811865476
lɛzʋʋ,ɖʋnʋʋ,0.7071067811865476
yʋlɩsʋʋ,ñɩbʋ,0.7071067811865476
woŋuu,ɖʋnʋʋ,0.7071067811865476
yʋlɩsʋʋ,ñɩm,0.7071067811865476
woŋuu,ɖɩŋʋʋ,0.7071067811865476
posuu,woŋuu,0.7071067811865476
kasʋʋ,you,0.7071067811865476
kpɛlɩkʋʋ,yonuu,0.7071067811865476
yʋlɩsʋʋ,ñɔkɔyɩnʋʋ,0.7071067811865476
tuuluu,ñasʋʋ,0.7071067811865476
kʋndɩnʋʋ,ɖɩŋʋʋ,0.7071067811865476
fɛtʋʋ,kpɛdʋʋ,0.7071067811865476
ñɔtʋʋ,ɖem,0.7071067811865476
huyuu,kpɛyʋʋ,0.7071067811865476
yʋlɩsʋʋ,ñaɣyʋʋ,0.7071067811865476
kpɩtʋʋ,yɩɣyʋʋ,0.7071067811865476
lʋʋ,sɔm,0.7071067811865476
fɛtʋʋ,kpadɩyʋʋ,0.7071067811865476
sɔm,sɩnzʋʋ,0.7071067811865476
pʋtʋʋ,ɖem,0.7071067811865476
kaʋ,kpɛlɩkʋʋ,0.7071067811865476
pɛdʋʋ,ñɩɣʋ,0.7071067811865476
tɔyɩtʋʋ,you,0.7071067811865476
kaʋ,kpɛdʋʋ,0.7071067811865476
sɔm,sɛɣʋʋ,0.7071067811865476
kpɩtʋʋ,yʋlɩsʋʋ,0.7071067811865476
pilimuu,ɖem,0.7071067811865476
lou,tɔɔlʋʋ,0.7071067811865476
yʋlɩsʋʋ,ñaɣzʋʋ,0.7071067811865476
layʋʋ,tolisuu,0.7071067811865476
layʋʋ,tuduu,0.7071067811865476
sɔm,tuuluu,0.7071067811865476
lʋʋ,posuu,0.7071067811865476
kaʋ,nezuu,0.7071067811865476
yonuu,yɩɣyʋʋ,0.7071067811865476
sɔm,yasʋʋ,0.7071067811865476
wɛɛtʋʋ,ɖʋnʋʋ,0.7071067811865476
kpɛlɩkʋʋ,tɔyɩtʋʋ,0.7071067811865476
wɛɛtʋʋ,ñasʋʋ,0.7071067811865476
yɩɣyʋʋ,ñɩbʋ,0.7071067811865476
hayʋʋ,kpiyuu,0.7071067811865476
hayʋʋ,kpibuu,0.7071067811865476
hayʋʋ,kpibu,0.7071067811865476
pilimuu,you,0.7071067811865476
yɩɣyʋʋ,ñɩm,0.7071067811865476
hayʋʋ,kpendʋʋ,0.7071067811865476
sɔm,woŋuu,0.7071067811865476
sɔm,wonʋʋ,0.7071067811865476
yɩɣyʋʋ,ñɩtʋʋ,0.7071067811865476
hayʋʋ,kpalʋʋ,0.7071067811865476
kaʋ,sɔm,0.7071067811865476
hayʋʋ,kotuu,0.7071067811865476
tɔyɩtʋʋ,ñɩɣʋ,0.7071067811865476
sɔm,welesinuu,0.7071067811865476
fiɣnuu,ɖem,0.7071067811865476
hayʋʋ,kpɛzɩnʋʋ,0.7071067811865476
kuu,yʋlɩsʋʋ,0.7071067811865476
hayʋʋ,kpɛʋ,0.7071067811865476
yɩɣyʋʋ,ñaɣyʋʋ,0.7071067811865476
yɩɣyʋʋ,ñaɣzʋʋ,0.7071067811865476
tɔɔlʋʋ,tɩyʋʋ,0.7071067811865476
hɛʋ,kpadɩyʋʋ,0.7071067811865476
ciɣduu,kpɛdʋʋ,0.7071067811865476
hayʋʋ,kʋndɩnʋʋ,0.7071067811865476
pɛlʋʋ,sɔm,0.7071067811865476
cadʋʋ,tɔɔlʋʋ,0.7071067811865476
mʋʋzʋʋ,ɖʋnʋʋ,0.7071067811865476
sɔm,yonuu,0.7071067811865476
kpɛlɩkʋʋ,tuu,0.7071067811865476
kpɛlɩkʋʋ,tuuluu,0.7071067811865476
hɛnʋʋ,ɖem,0.7071067811865476
tɩŋɩʋʋ,weʋ,0.7071067811865476
kpibu,posuu,0.7071067811865476
yɩɣyʋʋ,ñɔkɔyɩnʋʋ,0.7071067811865476
hayʋʋ,kuu,0.7071067811865476
lɛzʋʋ,weʋ,0.7071067811865476
hayʋʋ,kpɩtʋʋ,0.7071067811865476
hayʋʋ,kituu,0.7071067811865476
sɔm,wanʋʋ,0.7071067811865476
cozuu,nezuu,0.7071067811865476
kpɛlɩkʋʋ,tɩɣyʋʋ,0.7071067811865476
hayʋʋ,hʋlɩsʋʋ,0.7071067811865476
hayʋʋ,hɩzʋʋ,0.7071067811865476
hayʋʋ,hɩnʋʋ,0.7071067811865476
hayʋʋ,hɛʋ,0.7071067811865476
fɛtʋʋ,hayʋʋ,0.7071067811865476
fɛtʋʋ,hazʋʋ,0.7071067811865476
hayʋʋ,hɛnʋʋ,0.7071067811865476
hayʋʋ,hɔɔʋ,0.7071067811865476
kasʋʋ,layʋʋ,0.7071067811865476
mayʋʋ,sɔm,0.7071067811865476
yɩɣyʋʋ,ɖuuu,0.7071067811865476
hayʋʋ,hɔɔlʋʋ,0.7071067811865476
siu,sɔm,0.7071067811865476
welesinuu,weʋ,0.7071067811865476
sɔm,tɔyɩtʋʋ,0.7071067811865476
hayʋʋ,hoyuu,0.7071067811865476
hayʋʋ,haɣʋ,0.7071067811865476
sɔm,tɔnzʋʋ,0.7071067811865476
kpendʋʋ,posuu,0.7071067811865476
kpɛlɩkʋʋ,welesinuu,0.7071067811865476
waʋ,you,0.7071067811865476
tɔyɩtʋʋ,ñasʋʋ,0.7071067811865476
sɔm,tɩɣyʋʋ,0.7071067811865476
lʋʋ,nezuu,0.7071067811865476
sɔm,walʋʋ,0.7071067811865476
kpɛlɩkʋʋ,tɩɣzɩnʋʋ,0.7071067811865476
yɩɣyʋʋ,ɖenuu,0.7071067811865476
hayʋʋ,kem,0.7071067811865476
hayʋʋ,kaʋ,0.7071067811865476
sɔm,tɩɣzɩnʋʋ,0.7071067811865476
hɔɔʋ,hʋm,0.7071067811865476
hayʋʋ,kaɖɩnʋʋ,0.7071067811865476
pʋtʋʋ,tɔɔlʋʋ,0.7071067811865476
yɩɣyʋʋ,ɖizuu,0.7071067811865476
kasʋʋ,kpɛdʋʋ,0.7071067811865476
kasʋʋ,kpɛlɩkʋʋ,0.7071067811865476
kaʋ,posuu,0.7071067811865476
kpɛlɩkʋʋ,walʋʋ,0.7071067811865476
hayʋʋ,kasʋʋ,0.7071067811865476
kpɛlɩkʋʋ,wanʋʋ,0.7071067811865476
yonuu,you,0.7071067811865476
mayʋʋ,posuu,0.7071067811865476
woŋuu,ñɩɣʋ,0.7071067811865476
pʋʋ,tɔɔlʋʋ,0.7071067811865476
kpɛlɩkʋʋ,ɖenuu,0.7071067811865476
weʋ,yonuu,0.7071067811865476
lɛzʋʋ,ñɩɣʋ,0.7071067811865476
kpɛlɩkʋʋ,ɖizuu,0.7071067811865476
tɔɔlʋʋ,yuu,0.7071067811865476
weʋ,yozuu,0.7071067811865476
weʋ,yɔlɩsʋʋ,0.7071067811865476
ñaʋ,ɖɩŋʋʋ,0.7071067811865476
lʋʋ,ñasʋʋ,0.7071067811865476
kpiyuu,nezuu,0.7071067811865476
kpendʋʋ,nezuu,0.7071067811865476
calʋʋ,liu,0.7071067811865476
nezuu,ɖɩɣzʋ,0.7071067811865476
kaɣʋ,malʋʋ,0.7071067811865476
nezuu,ɖɔ́kʋʋ,0.7071067811865476
tɔɔlʋʋ,yʋlʋmʋʋ,0.7071067811865476
hoyuu,layʋʋ,0.7071067811865476
hɔɔzʋʋ,ɖɔ́kʋʋ,0.7071067811865476
suyuu,ɖʋnʋʋ,0.7071067811865476
kpɩtʋʋ,ɖɩŋʋʋ,0.7071067811865476
kpɛzɩnʋʋ,posuu,0.7071067811865476
lʋʋ,yʋlɩsʋʋ,0.7071067811865476
weʋ,wonʋʋ,0.7071067811865476
lʋʋ,yɩɣyʋʋ,0.7071067811865476
hɔɔzʋʋ,ɖɩɣzʋ,0.7071067811865476
weʋ,woŋuu,0.7071067811865476
tɔɔlʋʋ,yoluu,0.7071067811865476
pɛdʋʋ,you,0.7071067811865476
kpɛlɩkʋʋ,ñɩbʋ,0.7071067811865476
malʋʋ,weʋ,0.7071067811865476
caɣnʋʋ,hʋm,0.7071067811865476
kpɛlɩkʋʋ,ñɩm,0.7071067811865476
pɩnʋʋ,ɖem,0.7071067811865476
niɣzʋʋ,ɖɩŋʋʋ,0.7071067811865476
hoyuu,kpɛdʋʋ,0.7071067811865476
hoyuu,kpɛlɩkʋʋ,0.7071067811865476
ñɔkɔyɩnʋʋ,ñɩɣʋ,0.7071067811865476
weʋ,yasʋʋ,0.7071067811865476
lʋʋ,you,0.7071067811865476
niɣzʋʋ,tɔɔlʋʋ,0.7071067811865476
naŋʋʋ,sɔm,0.7071067811865476
tolisuu,ñɩɣʋ,0.7071067811865476
kaɣʋ,mʋzʋʋ,0.7071067811865476
malʋʋ,posuu,0.7071067811865476
kaɣʋ,lɛkʋʋ,0.7071067811865476
tɔɔlʋʋ,ñalɩzʋʋ,0.7071067811865476
nezuu,ɖizuu,0.7071067811865476
suyuu,ñasʋʋ,0.7071067811865476
layʋʋ,ñɔkɔyɩnʋʋ,0.7071067811865476
suyuu,yʋlɩsʋʋ,0.7071067811865476
nezuu,ñaɣzʋʋ,0.7071067811865476
lʋʋ,ñɩɣʋ,0.7071067811865476
suyuu,yɩɣyʋʋ,0.7071067811865476
nezuu,ñaɣyʋʋ,0.7071067811865476
naŋʋʋ,you,0.7071067811865476
kaɣʋ,kpɛyʋʋ,0.7071067811865476
nezuu,ñazʋʋ,0.7071067811865476
kpɛlɩkʋʋ,ɖɔ́kʋʋ,0.7071067811865476
tɔɔlʋʋ,ñɔzʋʋ,0.7071067811865476
pilisuu,sɔm,0.7071067811865476
tɔɔlʋʋ,ñɩlɩsʋʋ,0.7071067811865476
caɣnʋʋ,layʋʋ,0.7071067811865476
tɔɔlʋʋ,ñɩlɩzʋʋ,0.7071067811865476
posuu,yasʋʋ,0.7071067811865476
suluu,sɔm,0.7071067811865476
tuuluu,ñɩɣʋ,0.7071067811865476
tolisuu,ɖʋnʋʋ,0.7071067811865476
fɛʋ,ɖem,0.7071067811865476
nezuu,ñɔkɔyɩnʋʋ,0.7071067811865476
nezuu,ñɩm,0.7071067811865476
caɣnʋʋ,kpɛdʋʋ,0.7071067811865476
salʋʋ,ñɩɣʋ,0.7071067811865476
nezuu,ɖenuu,0.7071067811865476
caɣnʋʋ,kpɛlɩkʋʋ,0.7071067811865476
tɔɔlʋʋ,ñaʋ,0.7071067811865476
suyuu,ɖɩŋʋʋ,0.7071067811865476
malʋʋ,nezuu,0.7071067811865476
pʋʋ,ɖem,0.7071067811865476
suyuu,ñɩɣʋ,0.7071067811865476
huyuu,malʋʋ,0.7071067811865476
nezuu,ñɩbʋ,0.7071067811865476
lɛʋ,nezuu,0.7071067811865476
kpɩtʋʋ,ɖʋnʋʋ,0.7071067811865476
kpadɩyʋʋ,kɔzʋʋ,0.7071067811865476
fɛtʋʋ,tɔɔlʋʋ,0.7071067811865476
tɔɔlʋʋ,ñɔtʋʋ,0.7071067811865476
tolisuu,ɖɩŋʋʋ,0.7071067811865476
naŋʋʋ,weʋ,0.7071067811865476
sobuu,ɖem,0.7071067811865476
salʋʋ,ɖɩŋʋʋ,0.7071067811865476
kpɩtʋʋ,ñasʋʋ,0.7071067811865476
yʋlɩsʋʋ,ɖuuni,0.7071067811865476
tolisuu,yʋlɩsʋʋ,0.7071067811865476
wonʋʋ,ɖʋnʋʋ,0.7071067811865476
wonʋʋ,ɖɩŋʋʋ,0.7071067811865476
kasʋʋ,ɖɩŋʋʋ,0.7071067811865476
yoluu,ɖem,0.7071067811865476
kasʋʋ,ɖʋnʋʋ,0.7071067811865476
kaɣʋ,tɩŋɩʋʋ,0.7071067811865476
siɣʋ,you,0.7071067811865476
wonʋʋ,ñɩɣʋ,0.7071067811865476
siɣʋ,yɩɣyʋʋ,0.7071067811865476
siɣʋ,yʋlɩsʋʋ,0.7071067811865476
hoyuu,hɔɔzʋʋ,0.7071067811865476
yʋlɩsʋʋ,ɖɔ́kʋʋ,0.7071067811865476
siɣʋ,ñasʋʋ,0.7071067811865476
yʋlɩsʋʋ,ɖɩɣzʋ,0.7071067811865476
wonʋʋ,ñasʋʋ,0.7071067811865476
pɛdʋʋ,ñasʋʋ,0.7071067811865476
hoyuu,hʋm,0.7071067811865476
layʋʋ,tɩsʋʋ,0.7071067811865476
tolisuu,yɩɣyʋʋ,0.7071067811865476
woŋuu,you,0.7071067811865476
hɔɔzʋʋ,ñɩm,0.7071067811865476
yʋlɩsʋʋ,ɖizuu,0.7071067811865476
kasʋʋ,yɩɣyʋʋ,0.7071067811865476
kasʋʋ,yʋlɩsʋʋ,0.7071067811865476
kasʋʋ,ñasʋʋ,0.7071067811865476
tolisuu,you,0.7071067811865476
yʋlɩsʋʋ,ɖenuu,0.7071067811865476
pɩnʋʋ,tɔɔlʋʋ,0.7071067811865476
kpɛlɩkʋʋ,yozuu,0.7071067811865476
lɛʋ,posuu,0.7071067811865476
woŋuu,ñasʋʋ,0.7071067811865476
layʋʋ,ñɩbʋ,0.7071067811865476
ceɣuu,kpadɩyʋʋ,0.7071067811865476
kasʋʋ,ñɩɣʋ,0.7071067811865476
woŋuu,yʋlɩsʋʋ,0.7071067811865476
woŋuu,yɩɣyʋʋ,0.7071067811865476
kpɛlɩkʋʋ,yɔlɩsʋʋ,0.7071067811865476
layʋʋ,tɔyɩtʋʋ,0.7071067811865476
pilisuu,posuu,0.7071067811865476
siɣʋ,weʋ,0.7071067811865476
cozuu,sɔm,0.7071067811865476
yʋlʋmʋʋ,ɖem,0.7071067811865476
lɛzʋʋ,ɖɩŋʋʋ,0.7071067811865476
siɣʋ,ñɩɣʋ,0.7071067811865476
wonʋʋ,yʋlɩsʋʋ,0.7071067811865476
liu,sɔm,0.7071067811865476
layʋʋ,wanʋʋ,0.7071067811865476
salʋʋ,ɖʋnʋʋ,0.7071067811865476
naŋʋʋ,nezuu,0.7071067811865476
layʋʋ,welesinuu,0.7071067811865476
caɣnʋʋ,hayʋʋ,0.7071067811865476
caɣnʋʋ,hazʋʋ,0.7071067811865476
kpɩtʋʋ,ñɩɣʋ,0.7071067811865476
kpɛlɩkʋʋ,ñazʋʋ,0.7071067811865476
tɔyɩtʋʋ,weʋ,0.7071067811865476
kpɛlɩkʋʋ,ñaɣyʋʋ,0.7071067811865476
sobuu,you,0.7071067811865476
kpɛlɩkʋʋ,ñaɣzʋʋ,0.7071067811865476
pʋʋ,you,0.7071067811865476
hɔɔlʋʋ,sɔm,0.7071067811865476
kpɛlɩkʋʋ,ñɔkɔyɩnʋʋ,0.7071067811865476
naŋʋʋ,posuu,0.7071067811865476
caɣnʋʋ,hɔɔzʋʋ,0.7071067811865476
kpiyuu,posuu,0.7071067811865476
caɣnʋʋ,feŋuu,0.7071067811865476
sobuu,tɔɔlʋʋ,0.7071067811865476
calʋʋ,mayʋʋ,0.7071067811865476
pɛdʋʋ,yʋlɩsʋʋ,0.7071067811865476
wonʋʋ,yɩɣyʋʋ,0.7071067811865476
kʋndɩnʋʋ,weʋ,0.7071067811865476
wonʋʋ,you,0.7071067811865476
kaɣʋ,sʋzʋʋ,0.7071067811865476
pɩnʋʋ,you,0.7071067811865476
ñɔkɔyɩnʋʋ,ɖʋnʋʋ,0.7071067811865476
layʋʋ,tɩɣyʋʋ,0.7071067811865476
tolisuu,ñasʋʋ,0.7071067811865476
siɣʋ,ɖɩŋʋʋ,0.7071067811865476
layʋʋ,tɩɣzɩnʋʋ,0.7071067811865476
pɛdʋʋ,yɩɣyʋʋ,0.7071067811865476
mayʋʋ,nezuu,0.7071067811865476
caɣnʋʋ,caɣʋʋ,0.7071067811865476
lʋʋ,weʋ,0.7071067811865476
cozuu,you,0.7071067811865476
siɣʋ,ɖʋnʋʋ,0.7071067811865476
ñɔkɔyɩnʋʋ,ɖɩŋʋʋ,0.7071067811865476
caɣnʋʋ,cɔtʋʋ,0.7071067811865476
cɛzʋʋ,sɔm,0.7071067811865476
kaɖɩnʋʋ,weʋ,0.7071067811865476
calʋʋ,pilisuu,0.7071067811865476
kpɛdʋʋ,ñɩlɩzʋʋ,0.7071067811865476
kpɛdʋʋ,ñɔtʋʋ,0.7071067811865476
cɔtʋʋ,seluu,0.7071067811865476
kpɛdʋʋ,ñɔzʋʋ,0.7071067811865476
canʋʋ,caɣʋʋ,0.7071067811865476
yasʋʋ,ɖʋnʋʋ,0.7071067811865476
cɔtʋʋ,seʋ,0.7071067811865476
cɔtʋʋ,sisuu,0.7071067811865476
puu,ɖʋnʋʋ,0.7071067811865476
hɔɔʋ,ɖʋnʋʋ,0.7071067811865476
kpɛdʋʋ,ñɩbʋ,0.7071067811865476
cɔtʋʋ,siu,0.7071067811865476
liu,nezuu,0.7071067811865476
cɔtʋʋ,siɣʋ,0.7071067811865476
kpɛdʋʋ,ñɩlɩsʋʋ,0.7071067811865476
cɔtʋʋ,sobuu,0.7071067811865476
cɔtʋʋ,sazʋʋ,0.7071067811865476
hɔɔʋ,ɖɩŋʋʋ,0.7071067811865476
cɔtʋʋ,salʋʋ,0.7071067811865476
cɔtʋʋ,pʋtʋʋ,0.7071067811865476
caɣʋʋ,kpalʋʋ,0.7071067811865476
kpɛdʋʋ,ñaɣyʋʋ,0.7071067811865476
sɛɣʋʋ,ñasʋʋ,0.7071067811865476
ciɣduu,cɔtʋʋ,0.7071067811865476
kpɛdʋʋ,ñaɣzʋʋ,0.7071067811865476
you,ɖizuu,0.7071067811865476
liu,yɩɣyʋʋ,0.7071067811865476
posuu,tuuluu,0.7071067811865476
kpɛdʋʋ,ñɔkɔyɩnʋʋ,0.7071067811865476
seʋ,tɔɔlʋʋ,0.7071067811865476
cozuu,ɖʋnʋʋ,0.7071067811865476
cɔtʋʋ,pʋʋ,0.7071067811865476
piyʋʋ,tɔɔlʋʋ,0.7071067811865476
cɔtʋʋ,pʋʋtʋʋ,0.7071067811865476
seʋ,you,0.7071067811865476
cɔtʋʋ,suluu,0.7071067811865476
mɩsʋʋ,weʋ,0.7071067811865476
sazʋʋ,ñasʋʋ,0.7071067811865476
kpɛdʋʋ,ɖewuu,0.7071067811865476
caɣʋʋ,tasɩnʋʋ,0.7071067811865476
kpɛdʋʋ,ɖizuu,0.7071067811865476
Kʋyʋʋ,lizuu,0.7071067811865476
cɛzʋʋ,feŋuu,0.7071067811865476
cɔtʋʋ,sɩnzʋʋ,0.7071067811865476
yasʋʋ,ɖɩŋʋʋ,0.7071067811865476
cɔtʋʋ,hɛnʋʋ,0.7071067811865476
liu,you,0.7071067811865476
hɔɔzʋʋ,muluu,0.7071067811865476
cɔtʋʋ,hɔɔʋ,0.7071067811865476
cɛzʋʋ,hayʋʋ,0.7071067811865476
cɔtʋʋ,sɩzʋʋ,0.7071067811865476
cɛzʋʋ,hazʋʋ,0.7071067811865476
hɔɔʋ,posuu,0.7071067811865476
posuu,sɛɣʋʋ,0.7071067811865476
kpɛdʋʋ,ɖenuu,0.7071067811865476
cɔtʋʋ,sɛɣʋʋ,0.7071067811865476
kpɛzɩnʋʋ,ñɩɣʋ,0.7071067811865476
hʋlɩsʋʋ,layʋʋ,0.7071067811865476
kpɛdʋʋ,ñɩm,0.7071067811865476
cɔtʋʋ,susunuu,0.7071067811865476
paɖʋʋ,sɔm,0.7071067811865476
kpɛdʋʋ,piyʋʋ,0.7071067811865476
tuu,ɖʋnʋʋ,0.7071067811865476
cɔtʋʋ,suyuu,0.7071067811865476
seʋ,ɖem,0.7071067811865476
layʋʋ,pasʋʋ,0.7071067811865476
layʋʋ,paɖʋʋ,0.7071067811865476
canʋʋ,cɔtʋʋ,0.7071067811865476
kpɛdʋʋ,ɖabʋ,0.7071067811865476
kpɛdʋʋ,puzuu,0.7071067811865476
kpɛdʋʋ,ɖaɣlʋʋ,0.7071067811865476
kpɛdʋʋ,ñazʋʋ,0.7071067811865476
hɔɔzʋʋ,kpeɣlu,0.7071067811865476
cɔtʋʋ,pɩnʋʋ,0.7071067811865476
kpɛʋ,ñɩɣʋ,0.7071067811865476
kpendʋʋ,weʋ,0.7071067811865476
you,ɖɩɣzʋ,0.7071067811865476
tituu,ɖem,0.7071067811865476
hɔɔzʋʋ,kpiyuu,0.7071067811865476
kpɛʋ,yɩɣyʋʋ,0.7071067811865476
kpɛdʋʋ,peenduu,0.7071067811865476
kpɛʋ,yʋlɩsʋʋ,0.7071067811865476
cɔtʋʋ,paɣlʋʋ,0.7071067811865476
kpɛdʋʋ,yasʋʋ,0.7071067811865476
caɣʋʋ,sɛɣʋʋ,0.7071067811865476
posuu,ñɩbʋ,0.7071067811865476
cɔtʋʋ,paʋ,0.7071067811865476
kpɛyʋʋ,nezuu,0.7071067811865476
cɔtʋʋ,peenduu,0.7071067811865476
ɖɩɣzʋ,ɖʋnʋʋ,0.7071067811865476
kpɛzɩnʋʋ,ñasʋʋ,0.7071067811865476
kuu,ñɩɣʋ,0.7071067811865476
cɔtʋʋ,paɖʋʋ,0.7071067811865476
calʋʋ,ɖizuu,0.7071067811865476
caɣʋʋ,suyuu,0.7071067811865476
layʋʋ,ɖɔ́kʋʋ,0.7071067811865476
hʋlɩsʋʋ,nezuu,0.7071067811865476
hɔɔzʋʋ,pilisuu,0.7071067811865476
muluu,sɔm,0.7071067811865476
lɛʋ,you,0.7071067811865476
tuu,ñasʋʋ,0.7071067811865476
hɔɔʋ,layʋʋ,0.7071067811865476
kpɛdʋʋ,wonʋʋ,0.7071067811865476
hɔɔʋ,ñɩɣʋ,0.7071067811865476
kpɛʋ,you,0.7071067811865476
kpɛdʋʋ,woŋuu,0.7071067811865476
cɔtʋʋ,pasʋʋ,0.7071067811865476
faɣʋ,sɔm,0.7071067811865476
mɩsʋʋ,sɔm,0.7071067811865476
calʋʋ,ɖɔ́kʋʋ,0.7071067811865476
hɩnʋʋ,tɔɔlʋʋ,0.7071067811865476
cɔtʋʋ,pɛlʋʋ,0.7071067811865476
kpɛdʋʋ,yʋlʋmʋʋ,0.7071067811865476
kpɛdʋʋ,pilisuu,0.7071067811865476
calʋʋ,paɖʋʋ,0.7071067811865476
cɔtʋʋ,pɛdʋʋ,0.7071067811865476
calʋʋ,ɖɩɣzʋ,0.7071067811865476
pɛlʋʋ,ñɩɣʋ,0.7071067811865476
kpendʋʋ,ñasʋʋ,0.7071067811865476
cɔtʋʋ,puzuu,0.7071067811865476
you,ɖɔ́kʋʋ,0.7071067811865476
layʋʋ,nɩɣzʋʋ,0.7071067811865476
caɣʋʋ,sɩzʋʋ,0.7071067811865476
liu,yʋlɩsʋʋ,0.7071067811865476
caɣʋʋ,sɩɣlʋʋ,0.7071067811865476
posuu,ɖizuu,0.7071067811865476
ɖizuu,ɖɩŋʋʋ,0.7071067811865476
ɖizuu,ɖʋnʋʋ,0.7071067811865476
kotuu,ɖem,0.7071067811865476
cɔtʋʋ,pilisuu,0.7071067811865476
hɔɔzʋʋ,kpibuu,0.7071067811865476
cɔtʋʋ,pilimuu,0.7071067811865476
kpɛdʋʋ,yoluu,0.7071067811865476
hɔɔzʋʋ,kpibu,0.7071067811865476
kpɛʋ,ñasʋʋ,0.7071067811865476
kpɛdʋʋ,yonuu,0.7071067811865476
kpɛdʋʋ,yozuu,0.7071067811865476
kpɛdʋʋ,yɔlɩsʋʋ,0.7071067811865476
kpɛdʋʋ,yuu,0.7071067811865476
kpɛdʋʋ,pilimuu,0.7071067811865476
tuu,yʋlɩsʋʋ,0.7071067811865476
cɔtʋʋ,piyʋʋ,0.7071067811865476
caɣʋʋ,sɩnzʋʋ,0.7071067811865476
tuu,yɩɣyʋʋ,0.7071067811865476
cɛtʋ,ɖem,0.7071067811865476
kpɛʋ,ɖɩŋʋʋ,0.7071067811865476
feŋuu,kpɩtʋʋ,0.7071067811865476
piyuu,ɖem,0.7071067811865476
hɩzʋʋ,ɖɩŋʋʋ,0.7071067811865476
puu,ñasʋʋ,0.7071067811865476
cɔtʋʋ,tolisuu,0.7071067811865476
cɔtʋʋ,tuduu,0.7071067811865476
feŋuu,kotuu,0.7071067811865476
kpɛdʋʋ,pʋtʋʋ,0.7071067811865476
caɣʋʋ,wanʋʋ,0.7071067811865476
feŋuu,kpalʋʋ,0.7071067811865476
ceɣuu,tɔɔlʋʋ,0.7071067811865476
sɛɣʋʋ,ɖʋnʋʋ,0.7071067811865476
